id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0210;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, quale tra quelli indicati costituisce requisito di legittimità inerenteall'agente?;Legittimazione, ovvero l'esistenza di una investituraeffettiva.;Obbligatorietà.;Efficacia.
0211;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, la compatibilità, ovvero mancanza di cause di astensione oricusazione costituisce:;Requisito di legittimità dell'agente.;Requisito di legittimità inerente all'oggetto.;Requisito di efficacia.
0212;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, la competenza, per territorio, grado o materia costituisce:;Requisito di legittimità dell'agente.;Requisito di legittimità inerente all'oggetto.;Requisito di efficacia.
0213;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo,la legittimazione, ovvero l'esistenza di una investitura effettiva costituisce:;Requisito di legittimità dell'agente.;Requisito di legittimità inerente all'oggetto.;Requisito di efficacia.
0214;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, quale tra quelli indicati non costituisce requisito di legittimitàinerente all'agente?;Volontà.;Competenza, per territorio, grado o materia.;Legittimazione, ovvero l'esistenza di una investitura effettiva.
0215;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, quale tra quelli indicati non costituisce requisito di legittimitàinerente all'agente?;Obbligatorietà.;Compatibilità (mancanza dicause di astensione o ricusazione).;Legittimazione, ovvero l'esistenza di una investitura effettiva.
0216;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, quale tra quelli indicati non costituisce requisito di legittimitàinerente all'agente?;Efficacia.;Compatibilità (mancanza dicause di astensione o ricusazione).;Competenza, per territorio, grado o materia.
0217;Quali sono i requisiti di legittimità dell'atto amministrativo che attengono al profilo funzionale degli atti discrezionali e costituiscono i limiti interni della discrezionalità?;La corrispondenza all'interesse pubblico, la corrispondenza alla causa del potere e il rispetto dei precetti di logica e imparzialità.;La compatibilità, la competenza e la legittimazione.;I presupposti di fatto e di diritto, la compatibilità e la competenza.
0218;Quali sono i requisiti di legittimità dell'atto amministrativo che attengono al profilo funzionale degli atti discrezionali e costituisconoi limiti interni della discrezionalità?;La corrispondenza all'interesse pubblico.;I controlli.;Le notificazioni.
0219;Quali sono i requisiti di legittimità dell'atto amministrativo che attengono al profilo funzionale degli atti discrezionali e costituisconoi limiti interni della discrezionalità?;La corrispondenza alla causa del potere.;Il verificarsi della condizione sospensiva e del termine.;Le comunicazioni.
0220;Quali sono i requisiti di legittimità dell'atto amministrativo che attengono al profilo funzionale degli atti discrezionali e costituisconoi limiti interni della discrezionalità?;Il rispetto dei precetti di logica e imparzialità.;I controlli.;La trasmissione e la pubblicazione del provvedimento.
0221;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, la corrispondenza all'interesse pubblico costituisce:;Requisito di legittimità che attengono al profilo funzionale.;Requisito di competenza che attiene all’agente.;Requisito di legittimità che attiene all'agente.
0222;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, la corrispondenza alla causa del potere costituisce:;Requisito di legittimità che attengono al profilo funzionale.;Requisito discrezionale.;Requisito di legittimità che attiene all'agente.
0223;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, il rispetto dei precetti di logica e imparzialità costituisce:;Requisito di legittimità che attengono al profilo funzionale.;Requisito che attiene alla capacità dell’agente.;Requisito di legittimità che attiene all'agente.
0224;Corrispondenza all'interesse pubblico - Corrispondenza alla causa del potere. Quale/quali i tra i precedenti sono requisiti di legittimità dell'atto amministrativo che attengono al profilo funzionale degli attidiscrezionali?;Entrambi.;Nessuno.;Solo la corrispondenza all'interesse pubblico.
0225;Rispetto dei precetti di logica e imparzialità - Corrispondenza alla causa del potere. Quale/quali i tra i precedenti sono requisiti di legittimità dell'atto amministrativo che attengono al profilofunzionale degli atti discrezionali?;Entrambi.;Nessuno.;Solo il rispetto dei precetti di logica e imparzialità.
0226;Corrispondenza all'interesse pubblico - Presupposti di fatto e di diritto - Rispetto dei precetti di logica e imparzialità. Quale/quali tra i precedenti non sono requisiti di legittimità del provvedimento amministrativo che attengono al profilo funzionale degli attidiscrezionali?;Presupposti di fatto e di diritto.;Corrispondenza all'interesse pubblico.;Rispetto dei precetti di logica e imparzialità.
0227;Corrispondenza alla causa del potere - Rispetto dei precetti di logica e imparzialità - Compatibilità dell'agente. Quale/quali tra i precedenti non sono requisiti di legittimità del provvedimento amministrativo che attengono al profilo funzionale degli atti discrezionali?;Compatibilità dell'agente.;Corrispondenza alla causa del potere.;Rispetto dei precetti di logica e imparzialità.
0228;I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già perfetto, possa produrre i suoi effetti. Tra essi rientrano:;I controlli.;La corrispondenza alla causa del potere.;La mancanza di vizi della volontà.
0229;I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già perfetto, possa produrre i suoi effetti. Tra essi rientrano:;Il verificarsi della condizione sospensiva e del termine.;Il rispetto dei precetti di logica e imparzialità.;I presupposti di fatto e di diritto.
0230;I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già perfetto, possa produrre i suoi effetti. Tra essi rientrano:;L'accettazione dell'interessato, quando da essa la legge fadipendere gli effetti dell'atto.;La corrispondenza alla causa del potere.;La mancanza di vizi della volontà.
0231;I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già perfetto, possa produrre i suoi effetti. Tra essi rientrano:;Le notificazioni.;L'esistenza e sufficienza della motivazione.;I presupposti di fatto e di diritto.
0232;I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già perfetto, possa produrre i suoi effetti. Tra essi rientrano:;La trasmissione e la pubblicazione delprovvedimento.;I presupposti di fatto e di diritto.;La corrispondenza all'interesse pubblico.
0233;I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già perfetto, possa produrre i suoi effetti. Tra essi rientrano:;Le comunicazioni.;La compatibilità, la competenza e la legittimazione.;La corrispondenza all'interesse pubblico.
0234;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo,i controlli costituiscono:;Requisiti di efficacia.;Requisiti di legittimità .;Elementi essenziali dell'atto.
0235;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, il verificarsi della condizione sospensiva e del termine costituiscono:;Requisiti di efficacia.;Requisiti di legittimità .;Elementi essenziali dell'atto.
0236;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, l'accettazione dell'interessato, quando da essa la legge fa dipenderegli effetti dell'atto costituisce:;Requisito di efficacia.;Requisito di legittimità .;Elemento essenziale dell'atto.
0237;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo,le notificazioni costituiscono:;Requisiti di efficacia.;Requisiti di legittimità .;Elementi essenziali dell'atto.
0238;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, la trasmissione e la pubblicazione del provvedimento costituiscono:;Requisiti di efficacia.;Requisiti di legittimità .;Elementi essenziali dell'atto.
0239;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo,le comunicazioni costituiscono:;Requisiti di efficacia.;Requisiti di legittimità .;Elementi essenziali dell'atto.
0240;I controlli - Il verificarsi della condizione sospensiva e del termine. Quale/quali tra i precedenti sono requisiti di efficacia dell'attoamministrativo?;Entrambi.;Nessuno.;Solo i controlli.
0241;L'accettazione dell'interessato, quando da essa la legge fa dipendere gli effetti dell'atto - Le notificazioni. Quale/quali tra i precedentisono requisiti di efficacia dell'atto amministrativo?;Entrambi.;Nessuno.;Solo le notificazioni.
0242;La trasmissione e la pubblicazione del provvedimento - Le comunicazioni. Quale/quali i tra i precedenti sono requisiti diefficacia dell'atto amministrativo?;Entrambi.;Nessuno.;Solo le comunicazioni.
0243;I controlli - La trasmissione e la pubblicazione del provvedimento. Quale/quali tra i precedenti sono requisiti di efficacia dell'attoamministrativo?;Entrambi.;Nessuno.;Solo la trasmissione e la pubblicazione del provvedimento.
0244;Le notificazioni - Il verificarsi della condizione sospensiva e del termine. Quale/quali tra i precedenti sono requisiti di efficaciadell'atto amministrativo?;Entrambi.;Nessuno.;Solo il verificarsi della condizione sospensiva e del termine.
0245;L'accettazione dell'interessato, quando da essa la legge fa dipendere gli effetti dell'atto - Le comunicazioni. Quale/quali tra i precedentisono requisiti di efficacia dell'atto amministrativo?;Entrambi.;Nessuno.;Solo le comunicazioni.
0246;Controlli - Il verificarsi della condizione sospensiva e del termine - Corrispondenza all'interesse pubblico. Quale/quali tra i precedenti non sono requisiti di efficacia dell'atto amministrativo?;Corrispondenza all'interesse pubblico.;Il verificarsi della condizione sospensiva e del termine e i controlli.;Controlli.
0247;Accettazione dell'interessato, quando da essa la legge fa dipendere gli effetti dell'atto - Competenza dell'agente - Notificazioni.Quale/quali i tra i precedenti non sono requisiti di efficacia dell'attoamministrativo?;Competenza dell'agente.;Accettazione dell'interessato.;Notificazioni - Accettazione dell'interessato.
0248;Trasmissione e la pubblicazione del provvedimento - Comunicazioni- Compatibilità dell'agente. Quale/quali tra i precedenti non sono requisiti di efficacia dell'atto amministrativo?;Compatibilità dell'agente.;Trasmissione e pubblicazione del provvedimento.;Comunicazioni - Trasmissione e pubblicazione del provvedimento.
0249;Notificazioni - Presupposti di fatto e di diritto - Trasmissione e la pubblicazione del provvedimento. Quale/quali tra i precedenti nonsono requisiti di efficacia dell'atto amministrativo?;Presupposti di fatto e di diritto.;Notificazioni - Trasmissione epubblicazione del provvedimento.;Trasmissione e la pubblicazione del provvedimento.
0250;I requisiti d'efficacia dell'atto amministrativo si distinguono in requisiti di esecutività e requisiti d'obbligatorietà. Tra i primirientrano:;I controlli.;Le comunicazioni.;Le notificazioni.
0251;I requisiti d'efficacia dell'atto amministrativo si distinguono inrequisiti di esecutività e requisiti d'obbligatorietà. Tra i primi rientrano:;Il verificarsi della condizione sospensiva e del termine.;Le comunicazioni.;Le notificazioni.
0252;I requisiti d'efficacia dell'atto amministrativo si distinguono in requisiti di esecutività e requisiti d'obbligatorietà. Tra i primirientrano:;L'accettazione dell'interessato, quando da essa la legge fadipendere gli effetti dell'atto.;Le notificazioni.;Le comunicazioni.
0253;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo,i controlli costituiscono:;Requisiti di esecutività.;Requisiti di legittimità.;Elementi accidentali.
0254;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, il verificarsi della condizione sospensiva e del termine costituisce:;Requisito di esecutività.;Requisito di legittimità.;Elemento accidentale.
0255;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, l'accettazione dell'interessato, quando da essa la legge fa dipenderegli effetti dell'atto costituisce:;Requisito di esecutività.;Requisito di legittimità.;Elemento accidentale.
0256;I controlli - Il verificarsi della condizione sospensiva e del termine. Quale/quali tra i precedenti sono requisiti di esecutività dell'attoamministrativo?;Entrambi.;Nessuno.;Solo il verificarsi della condizione sospensiva e del termine.
0257;L'accettazione dell'interessato, quando da essa la legge fa dipenderegli effetti dell'atto - I controlli. Quale/quali tra i precedenti sono requisiti di esecutività dell'atto amministrativo?;Entrambi.;Nessuno.;Solo i controlli.
0258;I controlli - La compatibilità dell'agente - Il verificarsi della condizione sospensiva e del termine. Quale/quali tra i precedenti non sono requisiti di esecutività dell'atto amministrativo?;La compatibilità dell'agente.;I controlli - Il verificarsi della condizione sospensiva e del termine.;I controlli.
0259;L'accettazione dell'interessato, quando da essa la legge fa dipendere gli effetti dell'atto - I presupposti di diritto - Il verificarsi della condizione sospensiva e del termine. Quale/quali tra i precedenti non sono requisiti di esecutività dell'atto amministrativo?;I presupposti di diritto.;Il verificarsi della condizione sospensiva e del termine.;L'accettazione dell'interessato, quando da essa la legge fa dipendere gli effetti dell'atto - Il verificarsi della condizionesospensiva e del termine.
0260;I requisiti d'efficacia dell'atto amministrativo si distinguono in requisiti di esecutività e requisiti d'obbligatorietà. Tra i secondirientrano:;Le notificazioni.;I controlli.;La mancanza di vizi di volontà.
0261;I requisiti d'efficacia dell'atto amministrativo si distinguono in requisiti di esecutività e requisiti d'obbligatorietà. Tra i secondirientrano:;La trasmissione e la pubblicazione delprovvedimento.;La corrispondenza all'interesse pubblico.;I controlli.
0262;I requisiti d'efficacia dell'atto amministrativo si distinguono in requisiti di esecutività e requisiti d'obbligatorietà. Tra i secondirientrano:;Le comunicazioni.;I controlli.;Il rispetto dei precetti di logica e di imparzialità.
0263;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo,le notificazioni costituiscono:;Requisiti di obbligatorietà.;Requisiti di legittimità.;Elementi accidentali.
0264;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, la trasmissione e la pubblicazione del provvedimento costituiscono:;Requisiti di obbligatorietà.;Requisiti di legittimità.;Elementi accidentali.
0265;Con riferimento agli elementi ed ai requisiti dell'atto amministrativo,le comunicazioni costituiscono:;Requisiti di obbligatorietà.;Requisiti di legittimità.;Elementi accidentali.
0266;Le notificazioni - La trasmissione e la pubblicazione del provvedimento. Quale/quali tra i precedenti sono requisiti diobbligatorietà dell'atto amministrativo?;Entrambi.;Nessuno.;Solo le notificazioni.
0267;La trasmissione e la pubblicazione del provvedimento - Le comunicazioni. Quale/quali tra i precedenti sono requisiti diobbligatorietà dell'atto amministrativo?;Entrambi.;Nessuno.;Solo le comunicazioni.
0268;La trasmissione e la pubblicazione del provvedimento - L'esistenza della motivazione - Le notificazioni. Quale/quali tra i precedenti non sono requisiti di obbligatorietà dell'atto amministrativo?;L'esistenza della motivazione.;La trasmissione e la pubblicazione del provvedimento- Le notificazioni.;Le notificazioni.
0269;La trasmissione e la pubblicazione del provvedimento - La mancanza di vizi della volontà - Le comunicazioni. Quale/quali tra i precedenti non sono requisiti di obbligatorietà dell'atto amministrativo?;La mancanza di vizi della volontà.;La trasmissione e la pubblicazione del provvedimento.;Le comunicazioni - La trasmissione e la pubblicazione del provvedimento.
0270;Ogni provvedimento amministrativo ha una propria struttura, legata alla forma dell'atto. Esiste però una struttura di larga massima comune alla gran parte dei provvedimenti amministrativi scritti chesi compone da:;Intestazione, preambolo, motivazione, dispositivo, luogo, data e sottoscrizione.;Preambolo, motivazione, dispositivo, luogo e sottoscrizione.;Intestazione, preambolo, dispositivo, luogo e data.
0271;Normalmente l'atto amministrativo quanto a struttura formale si compone di intestazione, preambolo, motivazione, dispositivo,luogo, data e sottoscrizione. Quanto affermato è:;Corretto.;Errato.;Corretto solo per le autorizzazioni.
0272;Ogni provvedimento amministrativo ha una propria struttura, legata alla forma dell'atto. Esiste però una struttura di larga massima comune alla gran parte dei provvedimenti amministrativi scritti.Oltre che dal luogo, data e sottoscrizione essa si compone di:;Intestazione, preambolo, motivazione, dispositivo.;Dispositivo, motivazione.;Intestazione, preambolo e motivazione.
0273;Ogni provvedimento amministrativo ha una propria struttura, legata alla forma dell'atto. Esiste però una struttura di larga massima comune alla gran parte dei provvedimenti amministrativi scritti.Oltre che dalla motivazione essa si compone di:;Intestazione, preambolo, dispositivo, luogo, data e sottoscrizione.;Intestazione, dispositivo, luogo e data.;Intestazione, luogo, data e sottoscrizione.
0274;Ogni provvedimento amministrativo ha una propria struttura, legata alla forma dell'atto. Esiste però una struttura di larga massima comune alla gran parte dei provvedimenti amministrativi scritti.Oltre che dall'intestazione essa si compone di:;Preambolo, motivazione, dispositivo, luogo, data e sottoscrizione.;Preambolo, motivazione, luogo, data e sottoscrizione.;Preambolo, dispositivo, luogo, data e sottoscrizione.
0275;Ogni provvedimento amministrativo ha una propria struttura, legata alla forma dell'atto. Esiste però una struttura di larga massima comune alla gran parte dei provvedimenti amministrativi scritti.Oltre che dal preambolo essa si compone di:;Intestazione, motivazione, dispositivo, luogo, data e sottoscrizione.;Motivazione, dispositivo, luogo, data e sottoscrizione.;Intestazione, motivazione, luogo, data e sottoscrizione.
0276;Ogni provvedimento amministrativo ha una propria struttura, legata alla forma dell'atto. Esiste però una struttura di larga massima comune alla gran parte dei provvedimenti amministrativi scritti.Oltre che dal dispositivo essa si compone di:;Intestazione, preambolo, motivazione, luogo, data e sottoscrizione.;Intestazione, motivazione, luogo, data e sottoscrizione.;Intestazione, preambolo, luogo, data e sottoscrizione.
0277;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, l'intestazione:;È l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;Contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto.;Indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc.
0278;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attivitàdel funzionario sono imputabili, costituisce:;L'intestazione.;Il preambolo.;La motivazione.
0279;Intestazione, preambolo, motivazione, dispositivo, luogo, data, sottoscrizione sono le parti della struttura dell'atto amministrativo di larga massima comune alla gran parte dei provvedimenti amministrativi. Quale parte in particolare indica l'autorità da cuipromana l'atto?;Intestazione.;Preambolo.;Motivazione.
0280;Intestazione, preambolo, motivazione, dispositivo, luogo, data, sottoscrizione sono le parti della struttura dell'atto amministrativo di larga massima comune alla gran parte dei provvedimentiamministrativi. L'intestazione:;Indica l'autorità da cui promana l'atto.;È la parte precettiva dell'atto.;Contiene la firma dell'autorità che emana l'atto o di quella delegata.
0281;L'intestazione del provvedimento amministrativo indica l'autorità amministrativa alla quale il provvedimento e l'attività del funzionariosono imputabili. Quanto affermato è:;Corretto.;Errato, indica le norme di legge che giustificano l'esercizio deipoteri dell'amministrazione.;Errato, è la parte precettiva dell'atto.
0282;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, il preambolo:;Indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, levalutazioni tecniche, ecc.;È l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;Contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto.
0283;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, la parte che indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc.,costituisce:;Il preambolo.;L'intestazione.;La motivazione.
0284;Intestazione, preambolo, motivazione, dispositivo, luogo, data, sottoscrizione sono le parti della struttura dell'atto amministrativo di larga massima comune alla gran parte dei provvedimenti amministrativi. Quale parte in particolare contiene le norme di legge o i regolamenti in base alle quali l'atto è stato adottato nonché le attestazioni relative agli atti preparatori?;Preambolo.;Motivazione.;Dispositivo.
0285;L'intestazione, il preambolo, la motivazione, il luogo, la data, la sottoscrizione sono le parti della struttura dell'atto amministrativo di larga massima comune alla gran parte dei provvedimenti amministrativi. Il preambolo:;Contiene le norme di legge o i regolamenti in base alle quali l'atto è stato adottato nonché le attestazioni relative agli atti preparatori.;È l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;È la parte descrittiva in cui la pubblica amministrazione indica gli interessi coinvolti nel procedimento e valuta gli interessi indicando le ragioni per le quali preferisce soddisfare uno in luogo di un altro.
0286;Il preambolo del provvedimento amministrativo indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc. Quantoaffermato è:;Corretto.;Errato, è la parte dell'atto che contiene l'indicazione dei presupposti di fatto e le ragioni giuridiche del provvedimento.;Errato, contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto.
0287;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, la motivazione:;È la parte dell'atto che contiene l'indicazione dei presupposti di fatto e le ragioni giuridiche delprovvedimento.;È l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività delfunzionario sono imputabili.;Contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicatigli effetti dell'atto.
0288;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, la parte che contiene l'indicazione dei presupposti di fatto e le ragioni giuridiche delprovvedimento costituisce:;La motivazione.;L'intestazione.;Il preambolo.
0289;Intestazione, preambolo, motivazione, dispositivo, luogo, data, sottoscrizione sono le parti della struttura dell'atto amministrativo di larga massima comune alla gran parte dei provvedimenti amministrativi. Qual è la parte descrittiva in cui la pubblica amministrazione indica gli interessi coinvolti nel procedimento e valuta gli interessi indicando le ragioni per le quali preferiscesoddisfare uno in luogo di un altro?;Motivazione.;Preambolo.;Intestazione.
0290;Intestazione, preambolo, motivazione, luogo, data, sottoscrizione sono le parti della struttura dell'atto amministrativo di larga massima comune alla gran parte dei provvedimenti amministrativi. La motivazione:;È la parte descrittiva nella quale la pubblica amministrazione indica gli interessi coinvolti nel procedimento e valuta gli interessi indicando le ragioni per le quali preferisce soddisfare uno in luogo di un altro.;È l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;Indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc.
0291;La motivazione del provvedimento amministrativo è la parte dell'atto che contiene l'indicazione dei presupposti di fatto e le ragioni giuridiche del provvedimento. Quanto affermato è:;Corretto.;Errato, contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto.;Errato, indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc.
0292;La parte nella quale la P.A. valuta comparativamente gli interessi,motivando le ragioni per le quali si preferisce soddisfare un interesse in luogo di un altro costituisce:;La parte valutativa della motivazione dell'attoamministrativo.;Il dispositivo dell'atto amministrativo.;Il preambolo dell'atto amministrativo.
0293;Ciascun atto amministrativo presenta una struttura formale generalmente composta da intestazione, preambolo, motivazione, dispositivo, luogo, data e sottoscrizione. La motivazione consiste in:;Una parte descrittiva e una parte valutativa.;Una parte comparativa e una parte valutativa.;Una parte legislativa e una parte comparativa.
0294;Nell'atto amministrativo, la parte descrittiva della motivazione è:;La parte che indica gli interessi coinvolti nel procedimento.;La parte in cui sono indicate le norme di legge o i regolamenti in base alle quali l'atto è statoadottato.;L'indicazione dell'autorità da cui l'atto promana.
0295;Nell'atto amministrativo, la parte valutativa della motivazione è:;La parte nella quale la P.A. valuta comparativamente gli interessi, motivando le ragioni per le quali si preferisce soddisfare un interesse in luogodi un altro.;La parte che indica gli interessi coinvolti nel procedimento.;La parte in cui sono indicate le norme di legge o i regolamenti in base alle quali l'atto è stato adottato.
0296;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, il dispositivo:;Contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto.;É l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;Indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc.
0297;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, l'elemento che contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto, costituisce:;Il dispositivo.;L'intestazione.;Il preambolo.
0298;Il dispositivo dell'atto amministrativo contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto. Quanto affermato è:;Corretto.;Errato, è l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;Errato, è la parte dell'atto che contiene l'indicazione dei presupposti di fatto e le ragioni giuridiche del provvedimento.
0299;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, la sottoscrizione:;Contiene la firma dell'autorità che emana l'atto o di quella delegata.;È l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività delfunzionario sono imputabili.;Contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicatigli effetti dell'atto.
0300;Con riferimento alla struttura, di larga massima comune alla gran parte, dei provvedimenti amministrativi scritti, la parte che contiene la firma dell'autorità che emana l'atto o di quella delegata costituisce:;La sottoscrizione.;L'intestazione.;Il preambolo.
0301;La sottoscrizione del provvedimento amministrativo contiene la firma dell'autorità che emana l'atto o di quella delegata. Quanto affermato è:;Corretto.;Errato, indica l'autorità da cui promana l'atto.;Errato, è la parte dell'atto che contiene l'indicazione dei presupposti di fatto e le ragionigiuridiche del provvedimento.
0302;Indicare quale tra le seguenti affermazioni sulla struttura del provvedimento amministrativo è corretta.;La struttura generalmente si compone di: intestazione, preambolo, motivazione, dispositivo, luogo, data e sottoscrizione.;La motivazione contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto.;La motivazione indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, levalutazioni tecniche, ecc.
0303;Indicare quale tra le seguenti affermazioni sulla struttura del provvedimento amministrativo è corretta.;L'intestazione è l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;Il dispositivo indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc.;La struttura generalmente si compone di: intestazione, dispositivo, luogo, data e sottoscrizione.
0304;Indicare quale tra le seguenti affermazioni sulla struttura del provvedimento amministrativo è corretta.;Il dispositivo contiene la parte precettiva nella quale è espressa la volontà dell'amministrazione e sono indicati gli effetti dell'atto.;Il preambolo è l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;La motivazione indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, levalutazioni tecniche, ecc.
0305;Indicare quale tra le seguenti affermazioni sulla struttura del provvedimento amministrativo è corretta.;Il preambolo indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, le valutazioni tecniche, ecc.;La motivazione è l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;L'intestazione è la parte dell'atto che contiene l'indicazione dei presupposti di fatto e le ragioni giuridiche del provvedimento.
0306;Indicare quale tra le seguenti affermazioni sulla struttura del provvedimento amministrativo è corretta.;La motivazione è la parte dell'atto che contiene l'indicazione dei presupposti di fatto e le ragioni giuridiche del provvedimento.;Il dispositivo è l'indicazione dell'autorità amministrativa alla quale il provvedimento e l'attività del funzionario sono imputabili.;L'intestazione indica le norme di legge che giustificano l'esercizio dei poteri dell'amministrazione e le risultanze dell'istruttoria, compresi gli atti di impulso del procedimento, i pareri, levalutazioni tecniche, ecc.
0307;Con riferimento alla struttura, di larga massima comune alla gran parte dei provvedimenti amministrativi scritti, l’intestazione:;Indica l'autorità emanante.;Contiene le circostanze di fatto e quelle di diritto, delineando il quadro normativo e fattuale nel cui contesto l'atto è emanato.;Rappresenta la parte precettiva del provvedimento e contiene la concreta statuizione posta in essere dall'amministrazione.
0308;Con riferimento alla struttura, di larga massima comune alla gran parte dei provvedimenti amministrativi scritti, il preambolo:;Contiene le circostanze di fatto e quelle di diritto, delineando il quadro normativo e fattuale nel cui contesto l'atto è emanato.;Indica l'autorità emanante.;Rappresenta la parte precettiva del provvedimento e contiene la concreta statuizione posta in essere dall'amministrazione.
