id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0927;In tema di procedura penale, con specifico riguardo a l'incidente probatorio (art. 392 c.p.p.) e le sue tassative fattispecie ammissive, quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);rappresenta una parentesi dibattimentale anticipata nella fase delle indagini, volta ad assumere prove indifferibili in presenza di un concreto ed attuale pericolo di deterioramento o non ripetibilità.;è un'udienza filtro dinanzi al Giudice di Pace per decidere la sospensione del procedimento con messa alla prova degli adulti.;è il rimedio impugnatorio straordinario da proporre in Corte d'Appello avverso l'ordinanza applicativa di una misura cautelare reale.
0928;In tema di procedura penale, con specifico riguardo a la perquisizione locale e personale ex art. 247 c.p.p., quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);è disposta con decreto motivato dell'autorità giudiziaria quando vi è fondato motivo di ritenere che il corpo del reato o cose pertinenti si trovino in un determinato luogo o sulla persona.;Richiede il parere preventivo del Consiglio Superiore della Magistratura. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Comporta la nullità insanabile ed assoluta dell'intero procedimento.
0929;In tema di procedura penale, con specifico riguardo a il sequestro probatorio di beni o documenti (art. 253 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);è il mezzo di ricerca della prova avente ad oggetto il corpo del reato e le cose pertinenti al reato necessarie per l'accertamento dei fatti.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0930;In tema di procedura penale, con specifico riguardo a la rogatoria internazionale passiva ex art. 724 c.p.p., quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);è la procedura mediante la quale si dà esecuzione in Italia alle richieste di assistenza giudiziaria trasmesse da autorità giudiziarie straniere.;è il provvedimento con cui la Corte di Cassazione dispone il trasferimento del processo penale presso un tribunale estero. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;costituisce la notifica dell'estratto penale eseguita per via diplomatica dinanzi alle ambasciate estere.
0931;In tema di procedura penale, con specifico riguardo a il mandato di arresto europeo (mae) di tipo esecutivo, quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);è emesso dall'autorità giudiziaria di uno Stato membro per ottenere la consegna di una persona che si trova in un altro Stato membro ai fini dell'esecuzione di una pena o misura di sicurezza.;È un atto di esclusiva competenza del Prefetto della provincia.;Termine perentorio di tre giorni a pena di inammissibilità decadenziale.
0932;In tema di procedura penale, con specifico riguardo a l'interrogatorio di garanzia della persona sottoposta a custodia cautelare (art. 294 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);deve svolgersi entro cinque giorni dall'inizio dell'esecuzione della custodia in carcere, a pena di perdita di efficacia della misura cautelare.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0933;In tema di procedura penale, con specifico riguardo a la rinnovazione dell'istruzione dibattimentale in appello (art. 603 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);è disposta dal giudice d'appello quando ritiene di non poter decidere allo stato degli atti o in caso di ammissione di nuove prove scoperte o sopravvenute dopo il giudizio di primo grado.;è obbligatoria in tutti i procedimenti in cui l'imputato sia stato prosciolto in primo grado con formula dubitativa ex art. 530 comma 2 c.p.p.;rappresenta una nullità insanabile se richiesta dalla parte civile non costituitasi formalmente in primo grado.
0934;In tema di procedura penale, con specifico riguardo a il ricorso straordinario per errore di fatto o di calcolo in cassazione (art. 625-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);è proponibile dal Procuratore Generale o dal condannato per correggere gli errori materiali o di fatto contenuti nelle decisioni della Corte di Cassazione.;Termine perentorio di tre giorni a pena di inammissibilità decadenziale. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Comporta la nullità insanabile ed assoluta dell'intero procedimento.
0935;In tema di procedura penale, con specifico riguardo a la sospensione del procedimento con messa alla prova (art. 464-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);comporta la prestazione di condotte volte all'eliminazione delle conseguenze dannose o pericolose e lo svolgimento di lavoro di pubblica utilità per reati di minore gravità.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0936;In tema di procedura penale, con specifico riguardo a l'estinzione delle misure cautelari per decorso dei termini massimi (art. 303 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);opera ipso jure per ciascuna fase del procedimento quando siano superati i limiti temporali stabiliti dalla legge senza che sia intervenuto il provvedimento di fase.;richiede la previa approvazione con decreto non impugnabile emesso dal Ministero della Giustizia entro quaranta giorni. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;è sospesa a tempo indeterminato in tutti i casi in cui l'imputato si sia avvalso della facoltà di non rispondere in sede di interrogatorio.
0937;In tema di procedura penale, con specifico riguardo a l'estensione dell'impugnazione (art. 587 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);consente ai coimputati nel medesimo reato di giovarsi dell'impugnazione proposta da uno di essi, purché i motivi non siano esclusivamente personali.;È una facoltà esercitabile unicamente dal Procuratore Generale.;È una facoltà esercitabile unicamente dal Procuratore Generale.
0938;In tema di procedura penale, con specifico riguardo a la dichiarazione di contumacia e la nuova disciplina dell'assenza (art. 420-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);si procede in assenza dell'imputato solo quando vi sia la certezza della conoscenza della vocatio in ius o dell'inizio del processo.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.
0939;In tema di procedura penale, con specifico riguardo a la riparazione per l'ingiusta detenzione (art. 314 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);spetta a chi è stato prosciolto con sentenza irrevocabile perché il fatto non sussiste o non costituisce reato, salvo che vi abbia dato causa con dolo o colpa grave.;è una forma di risarcimento che spetta unicamente ai soggetti sottoposti a fermo di indiziato di delitto non convalidato per difetto di giurisdizione.;può essere richiesta entro il termine breve di dieci giorni dalla lettura del dispositivo dibattimentale.
0940;In tema di procedura penale, con specifico riguardo a la chiusura delle indagini preliminari e l'archiviazione per particolare tenuità del fatto (art. 411, comma 1-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);è notificata all'indagato e alla persona offesa, le quali possono proporre opposizione entro venti giorni chiedendo l'indicazione delle prosecuzione delle indagini.;È una facoltà esercitabile unicamente dal Procuratore Generale. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Comporta la nullità insanabile ed assoluta dell'intero procedimento.
0941;In tema di procedura penale, con specifico riguardo a il giudizio immediato richiesto dall'imputato (art. 419, comma 5, c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);rappresenta una rinuncia formale all'udienza preliminare notificata almeno tre giorni prima della data dell'udienza stessa.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0942;In tema di procedura penale, con specifico riguardo a l'incidente probatorio per la testimonianza del minore o della persona offesa vulnerabile (art. 392, comma 1-bis c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);può essere richiesto dal PM o dalla persona sottoposta alle indagini anche al di fuori dei casi di inderogabilità e urgenza per tutelare la personalità della vittima.;si svolge a porte aperte nell'aula di udienza dibattimentale ordinaria con l'esame diretto da parte dei giornalisti e del pubblico. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;impedisce in modo assoluto l'utilizzabilità del verbale nell'istruttoria dibattimentale qualora la difesa abbia nominato un nuovo consulente.
0943;In tema di procedura penale, con specifico riguardo a le perquisizioni e i sequestri eseguiti dalla pg di propria iniziativa ex art. 352 e 354 c.p.p., quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);devono essere trasmessi entro quarantotto ore al PM del luogo ove sono stati eseguiti, il quale nelle quarantotto ore successive decide sulla convalida.;È un atto di esclusiva competenza del Prefetto della provincia.;È una facoltà esercitabile unicamente dal Procuratore Generale.
0944;In tema di procedura penale, con specifico riguardo a la ricusa e la dichiarazione di astensione del giudice (artt. 36 e 37 c.p.p.), quale fra le seguenti affermazioni rispecchia la corretta ricostruzione normativo-giurisprudenziale? (Quesito d'esame e approfondimento tecnico n. 10);"l'astensione è valutata dal Presidente del Tribunale o della Corte; la ricusazione è decisa dalla Corte d'Appello o dalla Cassazione.";Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.
0945;Relativamente alla disciplina di il fermo di indiziato di delitto ex art. 384 c.p.p. e i relativi presupposti di applicabilità, si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);può essere disposto dal PM o dalla PG prima che il PM abbia assunto la direzione delle indagini, ove sussista concreto pericolo di fuga per un delitto per cui la legge stabilisce la pena dell'ergastolo o della reclusione non inferiore nel minimo a due anni.;è un atto di esclusiva competenza dell'Ufficiale di Polizia Giudiziaria che non necessita di successiva convalida da parte del Giudice per le Indagini Preliminari.;può essere eseguito soltanto nei confronti di soggetti colti nella fragranza di un delitto perseguibile d'ufficio con pena edittale massima inferiore a tre anni.
0946;Relativamente alla disciplina di l'intercettazione di conversazioni o comunicazioni tra presenti (cd. intercettazione ambientale) ex art. 266 c.p.p., si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è consentita nei luoghi di privata dimora solo se vi è fondato motivo di ritenere che ivi si stia svolgendo l'attività criminosa, salvo che si tratti di delitti di criminalità organizzata o terrorismo.;Sussiste solo nei giudizi davanti alla Corte Costituzionale. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;È una facoltà esercitabile unicamente dal Procuratore Generale.
0947;Relativamente alla disciplina di l'incidente probatorio (art. 392 c.p.p.) e le sue tassative fattispecie ammissive, si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);rappresenta una parentesi dibattimentale anticipata nella fase delle indagini, volta ad assumere prove indifferibili in presenza di un concreto ed attuale pericolo di deterioramento o non ripetibilità.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.
0948;Relativamente alla disciplina di la perquisizione locale e personale ex art. 247 c.p.p., si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è disposta con decreto motivato dell'autorità giudiziaria quando vi è fondato motivo di ritenere che il corpo del reato o cose pertinenti si trovino in un determinato luogo o sulla persona.;può essere eseguita dai funzionari di Cancelleria senza presenza del difensore o dell'interessato anche nei casi non di urgenza. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;costituisce un mezzo di prova vincolante che impedisce il successivo sequestro probatorio degli oggetti rinvenuti.
0949;Relativamente alla disciplina di il sequestro probatorio di beni o documenti (art. 253 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è il mezzo di ricerca della prova avente ad oggetto il corpo del reato e le cose pertinenti al reato necessarie per l'accertamento dei fatti.;Non è mai ammesso dalla legge in nessun stato o grado del processo.;Termine perentorio di tre giorni a pena di inammissibilità decadenziale.
0950;Relativamente alla disciplina di la rogatoria internazionale passiva ex art. 724 c.p.p., si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è la procedura mediante la quale si dà esecuzione in Italia alle richieste di assistenza giudiziaria trasmesse da autorità giudiziarie straniere.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.
0951;Relativamente alla disciplina di il mandato di arresto europeo (mae) di tipo esecutivo, si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è emesso dall'autorità giudiziaria di uno Stato membro per ottenere la consegna di una persona che si trova in un altro Stato membro ai fini dell'esecuzione di una pena o misura di sicurezza.;è un ordine amministrativo del Ministero dell'Interno che prescinde dalla presenza di un titolo giurisdizionale esecutivo.;è una sanzione disciplinare irrogata dalla Corte di Giustizia dell'Unione Europea verso gli Stati inadempienti.
0952;Relativamente alla disciplina di l'interrogatorio di garanzia della persona sottoposta a custodia cautelare (art. 294 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);deve svolgersi entro cinque giorni dall'inizio dell'esecuzione della custodia in carcere, a pena di perdita di efficacia della misura cautelare.;Richiede il parere preventivo del Consiglio Superiore della Magistratura. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;È un atto di esclusiva competenza del Prefetto della provincia.
0953;Relativamente alla disciplina di la rinnovazione dell'istruzione dibattimentale in appello (art. 603 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è disposta dal giudice d'appello quando ritiene di non poter decidere allo stato degli atti o in caso di ammissione di nuove prove scoperte o sopravvenute dopo il giudizio di primo grado.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.
0954;Relativamente alla disciplina di il ricorso straordinario per errore di fatto o di calcolo in cassazione (art. 625-bis c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è proponibile dal Procuratore Generale o dal condannato per correggere gli errori materiali o di fatto contenuti nelle decisioni della Corte di Cassazione.;è il mezzo ordinario per chiedere la sospensione dell'esecuzione delle sentenze di condanna passate in giudicato per intervenuta amnistia. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;è l'appello proposto contro le sentenze pronunciate dalla Corte d'Assise d'Appello in materia di delitti contro la personalità dello Stato.
0955;Relativamente alla disciplina di la sospensione del procedimento con messa alla prova (art. 464-bis c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);comporta la prestazione di condotte volte all'eliminazione delle conseguenze dannose o pericolose e lo svolgimento di lavoro di pubblica utilità per reati di minore gravità.;Termine perentorio di tre giorni a pena di inammissibilità decadenziale.;Richiede il parere preventivo del Consiglio Superiore della Magistratura.
0956;Relativamente alla disciplina di l'estinzione delle misure cautelari per decorso dei termini massimi (art. 303 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);opera ipso jure per ciascuna fase del procedimento quando siano superati i limiti temporali stabiliti dalla legge senza che sia intervenuto il provvedimento di fase.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.;Deve essere notificato personalmente al Presidente della Camera di appartenenza e al Ministro della Giustizia entro e non oltre il termine perentorio di quarantotto ore dalla formale adozione.
0957;Relativamente alla disciplina di l'estensione dell'impugnazione (art. 587 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);consente ai coimputati nel medesimo reato di giovarsi dell'impugnazione proposta da uno di essi, purché i motivi non siano esclusivamente personali.;obbliga il Pubblico Ministero ad estendere l'appello a tutti gli imputati assolti anche se la sua impugnazione riguardava un solo soggetto.;comporta il trasferimento automatico del procedimento davanti al giudice civile per la quantificazione delle spese processuali.
0958;Relativamente alla disciplina di la dichiarazione di contumacia e la nuova disciplina dell'assenza (art. 420-bis c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);si procede in assenza dell'imputato solo quando vi sia la certezza della conoscenza della vocatio in ius o dell'inizio del processo.;Non è mai ammesso dalla legge in nessun stato o grado del processo. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Sussiste solo nei giudizi davanti alla Corte Costituzionale.
0959;Relativamente alla disciplina di la riparazione per l'ingiusta detenzione (art. 314 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);spetta a chi è stato prosciolto con sentenza irrevocabile perché il fatto non sussiste o non costituisce reato, salvo che vi abbia dato causa con dolo o colpa grave.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.;Sussiste unicamente qualora vi sia stata l'espressa e preventiva autorizzazione rilasciata con decreto motivato dal Presidente della Corte d'Appello del distretto, unitamente al parere vincolante espresso per iscritto dall'Avvocatura Generale dello Stato.
0960;Relativamente alla disciplina di la chiusura delle indagini preliminari e l'archiviazione per particolare tenuità del fatto (art. 411, comma 1-bis c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);è notificata all'indagato e alla persona offesa, le quali possono proporre opposizione entro venti giorni chiedendo l'indicazione delle prosecuzione delle indagini.;determina l'iscrizione immediata della condanna nel casellario giudiziale con estinzione automatica del diritto di proprietà sui beni sequestrati. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;è pronunciata con sentenza inappellabile direttamente dal Pubblico Ministero senza alcun vaglio da parte del Giudice delle Indagini Preliminari.
0961;Relativamente alla disciplina di il giudizio immediato richiesto dall'imputato (art. 419, comma 5, c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);rappresenta una rinuncia formale all'udienza preliminare notificata almeno tre giorni prima della data dell'udienza stessa.;Non è mai ammesso dalla legge in nessun stato o grado del processo.;Termine perentorio di tre giorni a pena di inammissibilità decadenziale.
0962;Relativamente alla disciplina di l'incidente probatorio per la testimonianza del minore o della persona offesa vulnerabile (art. 392, comma 1-bis c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);può essere richiesto dal PM o dalla persona sottoposta alle indagini anche al di fuori dei casi di inderogabilità e urgenza per tutelare la personalità della vittima.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.
0963;Relativamente alla disciplina di le perquisizioni e i sequestri eseguiti dalla pg di propria iniziativa ex art. 352 e 354 c.p.p., si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);devono essere trasmessi entro quarantotto ore al PM del luogo ove sono stati eseguiti, il quale nelle quarantotto ore successive decide sulla convalida.;diventano definitivi trascorsi tre giorni senza che l'interessato abbia proposto ricorso straordinario al Presidente della Repubblica.;possono essere compiuti solo dagli Ufficiali di PG appartenenti al corpo dei Carabinieri o della Guardia di Finanza per reati tributari.
0964;Relativamente alla disciplina di la ricusa e la dichiarazione di astensione del giudice (artt. 36 e 37 c.p.p.), si indichi la risposta esatta secondo le vigenti disposizioni del codice di procedura penale: (Quesito d'esame e approfondimento tecnico n. 10);"l'astensione è valutata dal Presidente del Tribunale o della Corte; la ricusazione è decisa dalla Corte d'Appello o dalla Cassazione.";È una facoltà esercitabile unicamente dal Procuratore Generale. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;È una facoltà esercitabile unicamente dal Procuratore Generale.
0965;Con riferimento a il fermo di indiziato di delitto ex art. 384 c.p.p. e i relativi presupposti di applicabilità, quale delle seguenti proposizioni esprime l'esatto principio di diritto operante nel processo penale? (Quesito d'esame e approfondimento tecnico n. 10);può essere disposto dal PM o dalla PG prima che il PM abbia assunto la direzione delle indagini, ove sussista concreto pericolo di fuga per un delitto per cui la legge stabilisce la pena dell'ergastolo o della reclusione non inferiore nel minimo a due anni.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.
0966;Con riferimento a l'intercettazione di conversazioni o comunicazioni tra presenti (cd. intercettazione ambientale) ex art. 266 c.p.p., quale delle seguenti proposizioni esprime l'esatto principio di diritto operante nel processo penale? (Quesito d'esame e approfondimento tecnico n. 10);è consentita nei luoghi di privata dimora solo se vi è fondato motivo di ritenere che ivi si stia svolgendo l'attività criminosa, salvo che si tratti di delitti di criminalità organizzata o terrorismo.;è sempre liberamente disposta dall'Ufficiale di PG tramite decreto d'urgenza senza necessità di successiva convalida entro 48 ore. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;non è mai ammessa nei procedimenti per reati contro la Pubblica Amministrazione puniti con reclusione superiore nel massimo a cinque anni.
0967;Con riferimento a l'incidente probatorio (art. 392 c.p.p.) e le sue tassative fattispecie ammissive, quale delle seguenti proposizioni esprime l'esatto principio di diritto operante nel processo penale? (Quesito d'esame e approfondimento tecnico n. 10);rappresenta una parentesi dibattimentale anticipata nella fase delle indagini, volta ad assumere prove indifferibili in presenza di un concreto ed attuale pericolo di deterioramento o non ripetibilità.;È un atto di esclusiva competenza del Prefetto della provincia.;Richiede il parere preventivo del Consiglio Superiore della Magistratura.
0968;Con riferimento a la perquisizione locale e personale ex art. 247 c.p.p., quale delle seguenti proposizioni esprime l'esatto principio di diritto operante nel processo penale? (Quesito d'esame e approfondimento tecnico n. 10);è disposta con decreto motivato dell'autorità giudiziaria quando vi è fondato motivo di ritenere che il corpo del reato o cose pertinenti si trovino in un determinato luogo o sulla persona.;Comporta l'immediata ed automatica sospensione dell'intero procedimento penale e di tutti i termini cautelari per una durata complessiva mai inferiore a sei mesi solari consecutivi.;Richiede sempre la preventiva delibera di autorizzazione emanata dal Consiglio Superiore della Magistratura riunito in adunanza plenaria, a pena di nullità assoluta, insanabile e rilevabile d'ufficio in qualsiasi stato e grado del procedimento.
0969;Con riferimento a il sequestro probatorio di beni o documenti (art. 253 c.p.p.), quale delle seguenti proposizioni esprime l'esatto principio di diritto operante nel processo penale? (Quesito d'esame e approfondimento tecnico n. 10);è il mezzo di ricerca della prova avente ad oggetto il corpo del reato e le cose pertinenti al reato necessarie per l'accertamento dei fatti.;è una misura cautelare personale finalizzata ad impedire che l'indagato commetta ulteriori delitti della stessa specie.;ha una durata massima non prorogabile di quindici giorni decorsi i quali il bene viene confiscato a favore dell'Erario.
0970;Con riferimento a la rogatoria internazionale passiva ex art. 724 c.p.p., quale delle seguenti proposizioni esprime l'esatto principio di diritto operante nel processo penale? (Quesito d'esame e approfondimento tecnico n. 10);è la procedura mediante la quale si dà esecuzione in Italia alle richieste di assistenza giudiziaria trasmesse da autorità giudiziarie straniere.;Richiede il parere preventivo del Consiglio Superiore della Magistratura. Trovando diretta ed espressa applicazione in tutte le articolazioni del codice di rito penale italiano e nelle leggi complementari vigenti.;Genera l'estinzione immediata del reato per sopravvenuta improcedibilità.
